Identifier;Company Name;Country of Headquarters;Year;ESG score
ADLG.DE;Adler Real Estate AG;Germany;2022;46.54
ADLG.DE;Adler Real Estate AG;Germany;2021;37.86
ADLG.DE;Adler Real Estate AG;Germany;2020;35.58
ADLG.DE;Adler Real Estate AG;Germany;2019;27.42
ADLG.DE;Adler Real Estate AG;Germany;2018;
ADLG.DE;Adler Real Estate AG;Germany;2017;
ADLG.DE;Adler Real Estate AG;Germany;2016;
ADLG.DE;Adler Real Estate AG;Germany;2015;
ADLG.DE;Adler Real Estate AG;Germany;2014;
ADLG.DE;Adler Real Estate AG;Germany;2013;
AEE1.D;AEE Gold AG;Germany;2022;38.27
AEE1.D;AEE Gold AG;Germany;2021;
AEE1.D;AEE Gold AG;Germany;2020;
AEE1.D;AEE Gold AG;Germany;2019;
AEE1.D;AEE Gold AG;Germany;2018;
AEE1.D;AEE Gold AG;Germany;2017;
AEE1.D;AEE Gold AG;Germany;2016;
AEE1.D;AEE Gold AG;Germany;2015;
AEE1.D;AEE Gold AG;Germany;2014;
AEE1.D;AEE Gold AG;Germany;2013;
ALBG.MU;Allgaeuer Brauhaus AG;Germany;2022;48.20
ALBG.MU;Allgaeuer Brauhaus AG;Germany;2021;49.54
ALBG.MU;Allgaeuer Brauhaus AG;Germany;2020;46.65
ALBG.MU;Allgaeuer Brauhaus AG;Germany;2019;
ALBG.MU;Allgaeuer Brauhaus AG;Germany;2018;
ALBG.MU;Allgaeuer Brauhaus AG;Germany;2017;
ALBG.MU;Allgaeuer Brauhaus AG;Germany;2016;
ALBG.MU;Allgaeuer Brauhaus AG;Germany;2015;
ALBG.MU;Allgaeuer Brauhaus AG;Germany;2014;
ALBG.MU;Allgaeuer Brauhaus AG;Germany;2013;
BFKG.BE;Bastfaserkontor AG;Germany;2022;93.28
BFKG.BE;Bastfaserkontor AG;Germany;2021;92.29
BFKG.BE;Bastfaserkontor AG;Germany;2020;90.73
BFKG.BE;Bastfaserkontor AG;Germany;2019;89.12
BFKG.BE;Bastfaserkontor AG;Germany;2018;89.65
BFKG.BE;Bastfaserkontor AG;Germany;2017;84.40
BFKG.BE;Bastfaserkontor AG;Germany;2016;82.92
BFKG.BE;Bastfaserkontor AG;Germany;2015;74.95
BFKG.BE;Bastfaserkontor AG;Germany;2014;73.85
BFKG.BE;Bastfaserkontor AG;Germany;2013;74.65
BAYGn.DE;Bayer AG;Germany;2022;62.05
BAYGn.DE;Bayer AG;Germany;2021;63.05
BAYGn.DE;Bayer AG;Germany;2020;56.79
BAYGn.DE;Bayer AG;Germany;2019;55.72
BAYGn.DE;Bayer AG;Germany;2018;57.19
BAYGn.DE;Bayer AG;Germany;2017;
BAYGn.DE;Bayer AG;Germany;2016;
BAYGn.DE;Bayer AG;Germany;2015;
BAYGn.DE;Bayer AG;Germany;2014;
BAYGn.DE;Bayer AG;Germany;2013;
PBBG.DE;Deutsche Pfandbriefbank AG;Germany;2022;72.29
PBBG.DE;Deutsche Pfandbriefbank AG;Germany;2021;69.55
PBBG.DE;Deutsche Pfandbriefbank AG;Germany;2020;62.94
PBBG.DE;Deutsche Pfandbriefbank AG;Germany;2019;48.53
PBBG.DE;Deutsche Pfandbriefbank AG;Germany;2018;47.96
PBBG.DE;Deutsche Pfandbriefbank AG;Germany;2017;
PBBG.DE;Deutsche Pfandbriefbank AG;Germany;2016;
PBBG.DE;Deutsche Pfandbriefbank AG;Germany;2015;
PBBG.DE;Deutsche Pfandbriefbank AG;Germany;2014;
PBBG.DE;Deutsche Pfandbriefbank AG;Germany;2013;
JFBG.SG;Joh Friedrich Behrens AG;Germany;2022;70.87
JFBG.SG;Joh Friedrich Behrens AG;Germany;2021;66.17
JFBG.SG;Joh Friedrich Behrens AG;Germany;2020;62.56
JFBG.SG;Joh Friedrich Behrens AG;Germany;2019;63.50
JFBG.SG;Joh Friedrich Behrens AG;Germany;2018;62.53
JFBG.SG;Joh Friedrich Behrens AG;Germany;2017;59.21
JFBG.SG;Joh Friedrich Behrens AG;Germany;2016;54.05
JFBG.SG;Joh Friedrich Behrens AG;Germany;2015;56.12
JFBG.SG;Joh Friedrich Behrens AG;Germany;2014;55.88
JFBG.SG;Joh Friedrich Behrens AG;Germany;2013;59.08
BGBG.MU;Berchtesgadener Bergbahn AG;Germany;2022;18.26
BGBG.MU;Berchtesgadener Bergbahn AG;Germany;2021;12.03
BGBG.MU;Berchtesgadener Bergbahn AG;Germany;2020;
BGBG.MU;Berchtesgadener Bergbahn AG;Germany;2019;
BGBG.MU;Berchtesgadener Bergbahn AG;Germany;2018;
BGBG.MU;Berchtesgadener Bergbahn AG;Germany;2017;
BGBG.MU;Berchtesgadener Bergbahn AG;Germany;2016;
BGBG.MU;Berchtesgadener Bergbahn AG;Germany;2015;
BGBG.MU;Berchtesgadener Bergbahn AG;Germany;2014;
BGBG.MU;Berchtesgadener Bergbahn AG;Germany;2013;
ADCG.F;AdCapital AG;Germany;2022;68.95
ADCG.F;AdCapital AG;Germany;2021;63.63
ADCG.F;AdCapital AG;Germany;2020;70.13
ADCG.F;AdCapital AG;Germany;2019;68.51
ADCG.F;AdCapital AG;Germany;2018;70.49
ADCG.F;AdCapital AG;Germany;2017;71.45
ADCG.F;AdCapital AG;Germany;2016;63.57
ADCG.F;AdCapital AG;Germany;2015;69.86
ADCG.F;AdCapital AG;Germany;2014;60.45
ADCG.F;AdCapital AG;Germany;2013;53.11
GBFG.DE;Bilfinger SE;Germany;2022;88.86
GBFG.DE;Bilfinger SE;Germany;2021;88.95
GBFG.DE;Bilfinger SE;Germany;2020;86.98
GBFG.DE;Bilfinger SE;Germany;2019;86.18
GBFG.DE;Bilfinger SE;Germany;2018;88.23
GBFG.DE;Bilfinger SE;Germany;2017;74.75
GBFG.DE;Bilfinger SE;Germany;2016;74.31
GBFG.DE;Bilfinger SE;Germany;2015;72.38
GBFG.DE;Bilfinger SE;Germany;2014;51.27
GBFG.DE;Bilfinger SE;Germany;2013;48.90
